                          Feature  Importance
                     vehicle_4419    0.000667
   location_COLLEGE AND LANSDOWNE    0.000661
                     vehicle_8313    0.000660
        location_CHURCH AND QUEEN    0.000655
     location_ST CLAIR AND WINONA    0.000651
       location_BERKELEY AND KING    0.000647
     location_QUEEN AND BROADVIEW    0.000645
           location_YORK AND KING    0.000642
                     vehicle_4465    0.000642
                     vehicle_4550    0.000637
      location_ST CLAIR AND GUNNS    0.000634
                     vehicle_8303    0.000632
                     vehicle_4602    0.000631
                     vehicle_8663    0.000624
                     vehicle_4557    0.000621
                     vehicle_4434    0.000614
       location_QUEEN AND CARROLL    0.000613
                     vehicle_4510    0.000612
                     vehicle_4400    0.000605
    location_COLLEGE AND BATHURST    0.000602
                     vehicle_8349    0.000601
                     vehicle_3365    0.000596
                     vehicle_4463    0.000596
    location_QUEENS QUAY AND REES    0.000593
       location_BROADVIEW STATION    0.000588
          location_CHARLOTTE LOOP    0.000579
                     vehicle_8184    0.000577
       holidayType_New Year's Day    0.000576
                     vehicle_4506    0.000576
                     vehicle_4491    0.000573
                     vehicle_4567    0.000571
                     vehicle_4565    0.000568
                     vehicle_4518    0.000565
        location_QUEEN AND JARVIS    0.000563
                     vehicle_4484    0.000553
   location_SPADINA AND LAKESHORE    0.000552
   location_GERRARD AND BROADVIEW    0.000541
   location_PARLIAMENT AND DUNDAS    0.000540
                     vehicle_4443    0.000540
                     vehicle_4601    0.000540
                     vehicle_4415    0.000540
                     vehicle_4561    0.000539
        location_DUNDAS AND BLOOR    0.000537
                     vehicle_4559    0.000534
                     vehicle_8380    0.000534
                     vehicle_4440    0.000533
                     vehicle_4585    0.000531
