,delayType
8881,1
15678,2
3024,2
10429,2
3894,2
2153,2
8887,2
15730,3
15347,3
10554,2
4191,2
7497,1
9884,2
13758,3
3980,2
9297,2
7112,2
1459,2
6853,1
17166,3
15263,2
3823,2
13552,3
4268,2
3331,2
14425,2
17346,2
4510,2
13136,2
13259,3
17663,2
4409,2
17265,2
16590,2
7622,2
4217,2
15125,2
10909,2
18025,2
2613,2
17788,1
17245,2
18674,2
11656,2
12598,2
1484,2
12379,2
8874,2
16576,3
8278,3
10081,1
6256,1
1909,2
13014,2
440,2
11699,2
12315,1
1741,2
1358,2
5116,2
15348,2
16994,1
14361,2
9917,2
7761,2
14409,2
17025,2
18265,2
7945,2
9385,1
14486,2
10319,2
17228,3
14398,2
15581,2
849,2
16402,2
1010,2
15429,2
11492,2
86,2
18381,3
14438,2
12793,3
15409,3
5360,2
13225,3
12712,1
18367,3
17892,1
2220,2
11779,2
17897,1
15476,2
10708,2
1622,2
9626,2
8576,3
18902,1
11193,2
9210,2
18828,2
13632,2
10997,2
12593,2
1564,2
12463,1
4890,2
1726,2
17330,2
13756,2
13937,1
7302,2
17441,3
16220,2
18581,1
11581,2
4852,2
3325,2
5797,2
11714,2
8595,2
16258,2
14988,2
17222,2
16181,2
4813,2
7917,2
326,2
5982,3
5793,3
378,3
18163,2
6926,2
2907,2
7700,2
14002,2
13327,2
607,2
9684,2
13557,2
4200,2
7976,1
10420,3
14121,2
7506,2
8717,3
17546,2
14706,2
11896,1
14026,2
3416,2
10099,2
6245,3
16931,2
7683,2
11345,2
18716,2
7182,1
4290,2
6225,2
4192,2
720,3
10605,2
4074,2
13709,2
18257,2
16126,2
2417,2
12416,2
4863,2
894,2
15182,2
11874,1
6680,3
13214,3
7841,3
12005,2
5911,2
12806,1
16289,2
17219,1
10417,3
10033,2
567,2
9136,2
12108,2
15569,2
18287,2
9236,2
8106,2
16494,3
8730,2
5618,3
3755,2
4598,2
5192,3
4449,2
11357,2
9827,3
11020,2
18590,1
10784,3
5995,2
10335,3
13442,2
14946,2
16530,2
3914,1
14592,2
13686,2
9998,2
10240,2
3234,3
15640,2
4404,3
2256,2
3733,3
8370,1
15291,2
8609,1
2539,2
5451,2
16618,2
17142,2
8153,3
16699,3
17738,2
1095,2
6150,2
17566,3
1124,2
5693,2
7707,2
15171,2
12992,2
16876,1
8623,2
14203,2
1630,2
12490,2
14927,2
16251,2
5216,2
8388,3
4256,2
8861,2
18340,3
18681,2
8135,2
17911,2
5232,3
10206,2
204,2
18800,1
13660,1
3445,3
5063,2
4681,2
8540,2
12973,2
14001,2
6802,2
5006,2
15187,3
3795,3
7364,2
2345,2
18853,2
11426,3
17426,2
3757,2
4698,2
2553,2
17339,2
19041,2
3171,2
1395,3
11921,2
1737,3
9595,2
17325,2
8454,2
3052,2
16396,2
4320,2
5743,2
6464,2
4378,3
14041,2
1240,2
2763,2
9439,2
91,3
3751,2
14010,2
13592,3
16149,2
6471,3
14213,2
10244,3
1035,2
6819,2
778,3
17040,2
12364,1
1521,3
6319,2
5637,3
11006,3
16164,2
12597,1
1849,1
10424,2
6761,2
1195,2
14958,3
1670,3
5798,2
1099,3
15375,2
11661,2
14270,3
1263,2
10342,2
9028,2
15146,2
6541,2
16520,2
7267,2
13707,2
1434,2
603,3
3833,2
2414,2
8476,2
2848,1
13874,1
12014,2
12552,3
4664,2
12920,2
2735,3
18240,2
11514,2
2340,2
4455,2
9805,2
11035,2
924,1
3502,2
13630,2
4458,3
14447,3
2312,2
9504,3
12208,2
3035,2
14523,1
4242,2
17140,2
13934,2
8906,2
568,2
1759,3
14587,3
3821,2
13960,2
1679,2
3900,2
4101,1
3618,2
11995,2
17146,3
17605,2
3048,2
7189,2
14507,2
17773,2
13175,1
17417,2
5375,2
3397,3
346,3
8506,2
14811,2
17817,2
13558,2
13601,1
5665,3
5855,2
13469,2
11086,3
10920,2
10793,2
16781,2
12140,3
17376,2
14147,3
8652,2
11556,2
12651,2
6537,2
14005,2
8185,2
9149,2
12685,3
18764,2
5047,2
4789,2
301,2
331,3
13168,2
18941,2
4795,2
16803,2
8314,3
1777,2
9829,2
3219,2
11835,2
12951,2
15920,2
5309,2
236,3
12266,2
10975,2
4261,2
10681,2
2796,3
17656,3
14207,2
4711,2
950,2
10516,2
1409,2
16940,1
6112,1
5820,2
4798,3
13769,1
532,2
8487,2
7641,2
14322,2
7530,2
452,3
17488,2
14127,2
13575,2
15997,1
18736,2
8318,2
16773,3
3599,2
10835,2
14175,2
3166,2
8949,2
2605,3
1318,2
8530,2
8385,2
18451,2
7868,2
12286,3
257,2
15575,2
2588,2
6041,2
10559,2
1455,2
6504,2
3392,2
823,1
1055,2
6048,2
11044,2
11534,2
13559,2
6294,2
1522,3
6820,2
11451,3
15148,2
3450,2
3460,2
3578,2
6779,2
8870,2
3359,3
8667,2
11561,2
3180,3
9689,2
11159,2
18218,2
8931,3
11167,2
15621,3
5303,2
10828,2
10360,2
9261,1
2000,2
14545,2
15276,2
16664,2
14138,3
12079,3
162,2
7972,2
13667,2
7081,2
6101,2
4085,2
5433,2
12587,3
11042,2
2349,2
18850,2
752,2
9062,2
617,1
16210,2
14376,2
6731,2
15627,3
11220,1
14184,2
11073,1
4781,3
8330,2
7006,1
307,3
13453,3
14348,2
5134,2
12534,2
10792,2
17865,3
3995,2
17845,2
3182,2
8130,1
14668,2
7578,2
17500,2
3138,2
9037,1
9050,2
11049,2
15300,2
12843,2
6329,2
10673,3
5519,3
7510,3
1916,2
1210,2
1058,3
6077,2
5514,2
8352,3
10318,2
10552,2
251,1
3486,2
9575,1
13223,3
3105,2
7301,1
3255,1
16799,2
13671,2
13743,2
2148,2
10005,2
17624,2
1383,2
3784,2
12914,3
6335,2
18675,2
12900,2
1144,1
1861,2
897,2
3433,2
11981,3
5163,2
4481,2
11077,1
19061,3
5195,3
2258,2
17961,2
16100,2
16942,1
16510,2
9015,2
6293,2
3470,2
2088,2
2112,2
10859,2
16283,2
7609,1
12423,1
15162,3
11902,3
13890,2
2754,2
14038,3
6054,3
3096,2
5328,2
16300,2
2224,2
6213,2
14699,2
6473,2
6012,2
3544,2
2730,2
4958,2
14341,3
8053,2
4672,3
17796,3
11766,3
6699,3
13324,1
286,2
16525,3
5860,2
883,1
11394,2
17812,2
8588,2
125,2
16508,2
15099,1
4311,2
3487,3
12828,3
14651,2
18826,2
4802,2
1347,2
16668,3
8299,2
5657,2
2648,2
17182,2
14538,1
13669,3
9422,2
9806,2
18118,3
12353,2
6110,2
9117,1
3455,1
18007,2
1646,3
1568,3
644,3
15275,1
1870,2
17769,2
12908,2
10866,2
13525,2
15326,2
13262,2
11459,2
4251,2
2219,2
3551,2
6404,2
3571,2
11590,2
10261,2
14899,2
6230,2
10699,1
14157,2
14525,2
5610,2
5549,2
528,2
6818,2
15633,2
16507,3
18672,2
13545,3
1435,2
14746,2
8283,3
8632,3
18134,2
18682,2
15224,2
7916,1
7762,3
11899,3
15110,2
3926,2
8675,2
10898,1
6746,2
9687,2
12967,2
13641,3
13134,2
1993,2
15720,2
12571,2
9263,2
9652,3
4702,2
9892,2
8440,3
6838,2
14973,2
1791,2
15549,2
6005,1
13722,2
5755,1
18205,2
7395,2
13243,3
12242,2
9852,2
3483,2
18618,3
18253,1
8863,1
14099,2
6927,2
11775,2
16150,2
10924,2
976,2
14595,3
15594,2
16938,1
17557,2
14679,1
18637,2
8637,2
755,2
4558,2
12989,2
11686,2
17307,1
5336,2
14634,2
18277,2
16238,1
1464,2
13899,2
14689,2
2435,2
18082,1
13857,3
1884,2
10012,3
6951,2
5160,2
3246,3
18048,2
6801,2
10254,2
13289,2
8883,1
14139,2
3262,3
3111,2
4806,3
14326,2
5353,1
5065,2
15299,2
18444,2
16327,2
16033,2
15338,3
3015,3
17220,2
11208,2
6729,2
1548,2
3356,2
18396,3
5574,2
6981,3
3796,2
593,3
3817,3
13542,1
5334,3
15181,2
14883,2
4203,2
1839,2
1355,3
3605,1
10311,2
2503,2
5921,2
4107,2
17522,2
13409,1
17513,2
13634,1
7520,2
9719,3
2287,2
12034,2
16611,2
10504,2
15591,2
1483,2
4665,2
4340,2
7311,2
10308,2
445,2
11027,2
734,3
8484,3
15950,2
8825,2
3365,2
10301,2
14840,2
3515,2
9971,2
4104,2
18588,2
764,2
11718,3
18553,2
13384,2
5987,2
7974,3
11757,2
18797,2
11746,2
2649,2
10322,3
15813,3
15223,2
7995,2
18949,1
3982,3
8603,2
12773,1
6917,2
1045,2
6431,2
6172,3
14443,2
99,2
13824,2
13026,2
13797,2
12496,2
12233,3
15019,1
3223,2
8778,2
1924,2
9741,2
16867,2
926,3
3473,3
8693,2
13375,3
1627,2
9607,2
1346,1
10678,1
13477,2
12355,3
5754,2
7697,2
3291,3
9085,2
5840,2
16187,2
5892,3
4751,1
10737,2
14852,2
6965,2
10036,2
14378,2
8842,2
1276,2
3193,2
10256,1
3022,2
2514,2
17576,2
5411,2
5690,3
9599,3
13853,3
17402,3
16169,1
367,2
12833,2
16517,2
10447,3
17579,2
17744,2
12863,2
5191,2
13859,1
597,1
4776,2
9989,3
9872,2
18729,2
1867,3
6978,3
9777,2
7569,2
12198,2
7216,2
13548,2
14721,3
2316,2
17594,3
10943,2
14433,2
15869,3
17906,2
1203,2
2368,2
862,2
3242,3
11019,2
16891,2
12726,1
10386,2
5003,2
2114,3
9325,3
11349,2
5611,3
8954,1
581,2
8528,2
7203,2
3092,2
1185,2
13424,2
11443,1
7016,2
3341,2
2869,2
5094,3
12991,1
8025,2
7846,2
3686,2
12143,3
3309,2
7209,2
2790,2
18096,2
11815,1
7523,2
10965,2
13230,2
18976,2
12871,2
14170,2
17560,2
14129,3
12425,2
6177,1
9377,2
11355,2
8738,3
15238,2
15060,3
15802,3
5562,2
18998,1
15943,2
10385,1
4022,2
14602,2
15658,2
1155,2
15215,2
502,3
7146,2
16348,2
12149,2
3525,2
14450,2
13628,2
1808,2
9657,3
3530,2
11232,3
13437,1
8731,2
1094,2
15356,2
16924,2
3427,2
15509,2
15165,2
11997,3
16082,1
3277,2
18135,2
13610,2
7278,3
8465,1
19096,2
8661,2
7856,1
18768,2
16960,2
14298,3
16474,2
8137,1
11973,2
2404,2
6773,2
17274,2
13283,2
13101,2
4307,3
8428,2
6622,2
11950,1
6509,1
12077,2
11318,2
7067,1
3548,2
13265,3
5932,2
733,2
7246,2
3293,2
5464,2
15282,2
14655,2
5459,2
9185,2
11692,2
14064,3
5922,3
11515,3
12375,2
11428,2
9479,2
12716,2
15057,2
4190,2
9235,2
15903,2
784,1
8939,2
3151,3
11909,3
5025,2
15738,2
11094,3
2931,2
5990,2
595,2
18332,2
16801,3
17743,3
12467,2
3497,2
12979,1
9394,3
12882,2
10624,2
10283,2
1549,3
7964,1
16543,3
13127,2
11102,1
1729,2
13491,2
2642,2
17882,2
18873,2
9437,1
16537,2
2341,2
1914,2
8543,3
7793,1
1372,3
13463,2
15024,1
16948,3
6445,2
8690,2
4509,1
3002,3
15844,2
17081,2
6439,2
8147,1
8127,2
18325,2
8860,2
9751,1
9669,2
15791,3
359,3
7519,2
7003,2
1984,2
15870,2
13774,2
1807,1
239,3
10601,2
3178,2
11526,2
9978,1
5408,2
4868,3
3656,2
17112,2
11383,2
9537,2
17645,2
9840,1
17725,2
8347,2
12845,2
9035,2
6098,3
5415,2
4048,2
7756,2
5190,3
8994,2
18080,3
9311,3
12422,2
8525,3
11150,2
2249,3
6016,3
14575,2
393,1
13604,2
5109,2
7792,2
14950,2
3637,2
10857,3
9216,3
7835,3
5815,2
3372,3
842,2
5733,2
17031,2
10932,3
14691,3
6143,2
11321,3
2866,2
6902,2
12769,2
17806,2
17256,2
11390,2
3088,2
9653,3
17783,3
44,3
1188,3
5834,2
15998,2
7332,2
8060,2
689,2
2693,3
10411,2
13765,2
18026,2
12776,2
8550,2
7432,1
9484,2
10107,2
13706,2
7338,2
9995,2
6670,2
16490,3
18610,3
13133,2
2721,2
12089,3
2451,2
5477,2
12457,3
5051,2
16319,2
17469,2
12507,2
2885,2
18661,2
1773,3
11549,2
1879,2
13049,2
10620,2
885,1
8212,2
2357,3
3042,2
624,3
12040,2
1511,2
11791,2
16605,2
14079,2
12065,2
17464,2
12069,2
13884,2
1705,3
17874,2
14701,3
11439,2
13572,2
1248,2
5203,3
3496,2
8320,3
12720,1
3518,2
17674,2
12376,2
17908,2
9791,2
7508,2
7117,2
7968,2
9105,2
18198,2
10502,2
17179,2
9885,2
12032,3
17870,2
14834,1
17433,2
17378,2
12388,2
16317,2
14052,2
19058,3
11008,1
12444,3
6070,2
10313,2
8144,2
17542,2
1941,2
5417,2
3192,2
14095,2
7232,2
4971,3
16044,1
16834,2
15324,2
13162,2
5050,2
11079,1
16944,2
5535,2
6854,2
14537,2
16575,2
6493,2
9338,3
13602,2
8132,2
11434,3
998,2
2244,2
12619,1
11639,2
10196,3
3815,3
15696,2
9498,2
7997,2
13285,2
339,3
7027,2
688,1
13115,3
16288,3
9532,2
9094,2
2216,2
14564,2
511,2
7052,2
14272,3
10437,2
4334,3
10979,3
11660,3
6767,2
18246,2
7922,2
2786,2
2546,3
16830,3
1889,1
104,2
13074,1
13299,2
19098,2
2921,3
5931,2
8920,1
14495,3
4072,2
6393,2
7004,2
2480,2
18338,2
15232,2
10362,2
7317,2
10468,2
14715,1
11113,2
9814,2
17380,2
18255,2
4725,1
10018,2
2971,2
3264,1
15855,2
14484,3
13938,1
16972,2
8620,2
11938,2
6499,3
1816,2
2576,1
17175,2
12383,2
5885,2
728,2
7644,2
13483,2
11177,3
14058,2
5945,3
13206,2
7949,2
13310,2
14829,2
7243,2
5390,2
17259,2
3994,2
11030,3
7568,2
18751,3
17688,2
17035,2
4962,2
9288,1
625,2
7989,1
16024,2
13720,2
16434,1
5077,2
16919,1
14117,2
10832,2
2027,2
690,1
17269,3
15212,2
16850,2
14118,2
2431,2
6494,3
6288,2
6055,2
4897,3
12731,2
10247,1
2018,2
3979,2
3542,2
3116,2
5130,1
18987,3
59,2
17352,2
13129,2
11265,2
363,2
1047,2
6719,3
18529,3
11608,1
17762,2
4031,3
5788,2
2047,2
18646,1
2523,2
6229,2
16610,3
10032,2
16917,3
10222,2
4452,3
16423,2
8903,2
11919,2
1412,2
18742,2
16252,2
1958,3
17164,2
11701,2
608,2
3526,2
3863,3
16843,2
11531,1
3652,2
8309,2
5359,2
5724,2
7148,3
5233,2
14670,2
4999,2
15004,1
11417,2
10738,2
5944,2
1189,3
6433,2
3546,2
9647,2
9266,2
756,2
6688,3
9623,1
2904,3
13029,3
1401,2
17790,2
14604,2
725,2
12569,2
13227,2
11257,2
16722,2
10690,2
5920,2
7234,2
9363,1
499,2
13713,3
17066,2
17759,3
9724,2
16889,2
18662,3
10147,2
13796,1
10404,2
7135,1
8211,1
16302,2
16062,1
2881,3
18561,2
2046,2
15788,3
15664,3
12267,3
2772,2
2555,2
11072,2
5736,3
3408,2
4865,2
11097,2
4037,2
10481,2
3943,2
17388,1
14357,2
4579,2
18448,3
16706,2
1339,3
16197,3
16115,2
9710,1
3201,2
15243,2
12072,3
18856,2
11143,2
13046,3
2828,2
18045,3
852,2
7979,1
15149,1
6556,2
12339,2
1585,2
2653,2
11263,2
311,3
9747,1
18172,2
9349,3
13224,2
16160,1
1019,3
15617,2
9690,2
5652,2
5177,2
6227,2
13885,2
11866,2
15408,2
15198,2
6300,2
18935,1
14220,2
16900,2
14705,2
14179,2
